path	engine	date	axes	tier_count	has_fixpoint	cycle_id
design/hexa_sim/2026-04-25_bridge_tool_jackpot_omega_cycle.json	hexa_sim	2026-04-25	26	0	Y	2026-04-25_bridge_tool_jackpot_omega_cycle
design/hexa_sim/2026-04-25_falsifier_integration_omega_cycle.json	hexa_sim	2026-04-25	12	5	Y	2026-04-25_hexa_sim_falsifier_integration_omega_cycle
design/hexa_sim/2026-04-25_omega_cycle_implementation.json	hexa_sim	2026-04-25	0	0	Y	2026-04-25_hexa_sim_implementation_omega_cycle
design/hexa_sim/2026-04-26_atlas_ingest_a2_self_path_strip_omega_cycle.json	hexa_sim	2026-04-26	0	3	Y	2026-04-26_atlas_ingest_a2_self_path_strip_omega_cycle
design/hexa_sim/2026-04-26_atlas_ingest_arg_fix_omega_cycle.json	hexa_sim	2026-04-26	0	5	Y	2026-04-26_atlas_ingest_arg_fix_omega_cycle
design/hexa_sim/2026-04-26_atlas_ingest_omega_cycle.json	hexa_sim	2026-04-26	15	7	Y	2026-04-26_bridge_to_atlas_auto_ingest_omega_cycle
design/hexa_sim/2026-04-26_atlas_ingest_tool_evolution_omega_cycle.json	hexa_sim	2026-04-26	16	5	Y	2026-04-26_atlas_ingest_tool_evolution_omega_cycle
design/hexa_sim/2026-04-26_dedup_strategy_evolution_omega_cycle.json	hexa_sim	2026-04-26	18	4	Y	2026-04-26_dedup_strategy_evolution_omega_cycle
design/hexa_sim/2026-04-26_F19_F23_falsifier_expansion_omega_cycle.json	hexa_sim	2026-04-26	8	0	Y	F19-F23 falsifier expansion + Mertens labeling discovery
design/hexa_sim/2026-04-26_F23_resolution_omega_cycle.json	hexa_sim	2026-04-26	9	0	N	F23 resolution — atlas DSL v2 Layer 4 vacuous-PASS sealed
design/hexa_sim/2026-04-26_i11_cmd_hardening_omega_cycle.json	hexa_sim	2026-04-26	5	0	N	—
design/hexa_sim/2026-04-26_improvement_ideas_omega_cycle.json	hexa_sim	2026-04-26	20	5	Y	2026-04-26_improvement_ideas_omega_cycle
design/hexa_sim/2026-04-26_phase4_atlas_dsl_v2_and_lens_injection_omega_cycle.json	hexa_sim	2026-04-26	0	0	Y	2026-04-26_phase4_atlas_dsl_v2_and_lens_injection_omega_cycle
design/meta_engine/2026-04-25_final_form_and_limits_omega_cycle.json	meta_engine	2026-04-25	20	5	Y	2026-04-25_meta_engine_final_form_and_limits_omega_cycle
design/meta_engine/2026-04-26_m3_anchor_workflow_omega_cycle.json	meta_engine	2026-04-26	4	1	Y	2026-04-26_m3_anchor_workflow_omega_cycle
design/meta_engine/2026-04-26_m3_cert_populator_omega_cycle.json	meta_engine	2026-04-26	14	5	Y	2026-04-26_m3_cert_populator_omega_cycle
design/meta_engine/2026-04-26_m3_p1_retroactive_emit_omega_cycle.json	meta_engine	2026-04-26	13	4	Y	2026-04-26_m3_p1_retroactive_emit_omega_cycle
design/meta_engine/2026-04-26_m3_p3_hash_chain_omega_cycle.json	meta_engine	2026-04-26	13	4	Y	2026-04-26_m3_p3_hash_chain_omega_cycle
design/meta_engine/2026-04-26_m3_p5_tarski_verifier_omega_cycle.json	meta_engine	2026-04-26	13	4	Y	2026-04-26_m3_p5_tarski_verifier_omega_cycle
design/meta_engine/2026-04-26_m5_i1i2_parser_comparator_omega_cycle.json	meta_engine	2026-04-26	13	4	Y	2026-04-26_m5_i1i2_parser_comparator_omega_cycle
design/meta_engine/2026-04-26_m5_i4_schema_migration_omega_cycle.json	meta_engine	2026-04-26	11	4	Y	2026-04-26_m5_i4_schema_migration_omega_cycle
design/meta_engine/2026-04-26_m5_i5_fixpoint_detector_omega_cycle.json	meta_engine	2026-04-26	11	3	Y	2026-04-26_m5_i5_fixpoint_detector_omega_cycle
design/meta_engine/2026-04-26_m5_i6_23_round_migration_omega_cycle.json	meta_engine	2026-04-26	12	4	Y	2026-04-26_m5_i6_23_round_migration_omega_cycle
design/meta_engine/2026-04-26_m5_ordinal_infra_omega_cycle.json	meta_engine	2026-04-26	14	5	Y	2026-04-26_m5_ordinal_infra_omega_cycle
design/meta_engine/2026-04-26_m5_spec_corpus_omega_cycle.json	meta_engine	2026-04-26	4	4	Y	2026-04-26_m5_spec_corpus_omega_cycle
design/roadmap_engine/2026-04-25_final_form_and_limits_omega_cycle.json	roadmap_engine	2026-04-25	20	5	Y	2026-04-25_roadmap_engine_final_form_and_limits_omega_cycle
design/roadmap_engine/2026-04-26_r4_5dag_fixtures_omega_cycle.json	roadmap_engine	2026-04-26	4	3	Y	2026-04-26_roadmap_engine_r4_5dag_fixtures_witness_omega_cycle
design/roadmap_engine/2026-04-26_r4_i1_mcts_rollout_omega_cycle.json	roadmap_engine	2026-04-26	14	0	Y	2026-04-26_roadmap_engine_r4_i1_mcts_rollout_policy_deepening_omega_cycle
design/roadmap_engine/2026-04-26_r4_i3_budget_envelope_omega_cycle.json	roadmap_engine	2026-04-26	13	4	Y	2026-04-26_roadmap_engine_r4_i3_budget_envelope_deepening_omega_cycle
design/roadmap_engine/2026-04-26_r4_i4_atomic_apply_omega_cycle.json	roadmap_engine	2026-04-26	13	4	Y	2026-04-26_roadmap_engine_r4_i4_atomic_apply_snapshot_rollback_deepening_omega_cycle
design/roadmap_engine/2026-04-26_r4_i5_benchmark_suite_omega_cycle.json	roadmap_engine	2026-04-26	15	4	Y	2026-04-26_roadmap_engine_r4_i5_benchmark_suite_generator_deepening_omega_cycle
design/roadmap_engine/2026-04-26_r4_impl_omega_cycle.json	roadmap_engine	2026-04-26	14	5	Y	2026-04-26_roadmap_engine_r4_replanning_continuous_impl_omega_cycle
